Purchasing Document,Company Code,Purchasing Doc. Type,Deletion indicator,Currency,Exchange Rate
4000000171,1100,ZCAP,,INR,1.0
4000000172,1100,ZCAP,,INR,79.2
4000000173,1100,ZCAP,,INR,0.5695
4000000175,1100,ZCAP,,INR,1.0
4000000176,1100,ZCAP,,INR,1.0
4000000182,1100,ZCAP,,INR,1.0
4000000184,1100,ZCAP,,INR,1.0
4000000185,1100,ZCAP,,INR,1.0
4000000186,1100,ZCAP,,INR,1.0
4000000187,1100,ZCAP,,INR,1.0
4000000188,1100,ZCAP,,INR,80.95
4000000189,1100,ZCAP,,INR,1.0
4000000190,1100,ZCAP,,INR,1.0
4000000191,1100,ZCAP,,INR,1.0
4000000193,1100,ZCAP,,INR,1.0
4000000194,1100,ZCAP,,INR,1.0
4000000198,1100,ZCAP,,INR,1.0
4000000199,1100,ZCAP,,INR,1.0
4000000200,1100,ZCAP,,,1.0
4000000203,1100,ZCAP,,INR,1.0
4000000206,1100,ZCAP,,INR,78.55
4000000207,1100,ZCAP,,INR,78.55
4000000208,1100,ZCAP,,INR,1.0
4000000209,1100,ZCAP,,INR,1.0
4000000211,1100,ZCAP,,INR,1.0
4000000212,1100,ZCAP,,INR,1.0
4000000213,1100,ZCAP,,INR,1.0
4000000214,1100,ZCAP,,INR,1.0
4000000219,1100,ZCAP,,INR,1.0
4000000220,1100,ZCAP,,INR,1.0
4000000221,1100,ZCAP,,INR,1.0
4000000222,1100,ZCAP,,INR,1.0
4000000223,1100,ZCAP,,INR,1.0
4000000224,1100,ZCAP,,INR,1.0
4000000226,1100,ZCAP,,INR,1.0
4000000227,1100,ZCAP,,INR,1.0
4000000228,1100,ZCAP,,INR,1.0
4000000229,1100,ZCAP,,INR,1.0
4000000231,1100,ZCAP,,INR,1.0
4000000233,1100,ZCAP,,,0.5835
4000000235,1100,ZCAP,,INR,1.0
4000000237,1100,ZCAP,,,1.0
4000000238,1100,ZCAP,,INR,1.0
4000000239,1100,ZCAP,,INR,1.0
4000000241,1100,ZCAP,,INR,1.0
4000000242,1100,ZCAP,,INR,1.0
4000000245,1100,ZCAP,,INR,1.0
4000000246,1100,ZCAP,,,78.8
4000000247,1100,ZCAP,,INR,78.8
4000000248,1100,ZCAP,,INR,1.0
4000000249,1100,ZCAP,,INR,1.0
4000000250,1100,ZCAP,,INR,1.0
4000000251,1100,ZCAP,,INR,1.0
4000000254,1100,ZCAP,,INR,1.0
4000000255,1100,ZCAP,,INR,1.0
4000000258,1100,ZCAP,,,1.0
4000000260,1100,ZCAP,,INR,1.0
4000000261,1100,ZCAP,,INR,78.8
4000000264,1100,ZCAP,,INR,1.0
4000000266,1100,ZCAP,,INR,1.0
4000000267,1100,ZCAP,,INR,1.0
4000000270,1100,ZCAP,,INR,1.0
4000000272,1100,ZCAP,,INR,1.0
4000000273,1100,ZCAP,,INR,1.0
4000000278,1100,ZCAP,,INR,78.8
4000000281,1100,ZCAP,,INR,1.0
4000000282,1100,ZCAP,,INR,1.0
4000000283,1100,ZCAP,,INR,1.0
4000000284,1100,ZCAP,,INR,1.0
4000000289,1100,ZCAP,,,78.7
4000000291,1100,ZCAP,,INR,1.0
4000000292,1100,ZCAP,,INR,1.0
4000000295,1100,ZCAP,,INR,78.25
4000000296,1100,ZCAP,,INR,1.0
4000000298,1100,ZCAP,,INR,0.561
4000000299,1100,ZCAP,,,0.561
4000000300,1100,ZCAP,,,1.0
4000000302,1100,ZCAP,,INR,1.0
4000000303,1100,ZCAP,,INR,1.0
